Orig Order,GeoType,Borough,GeoID,Name,NTA Type,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
252,NTA2020,Staten Island,SI0107,Mariner's Harbor-Arlington-Graniteville,0,"2,698","3,659",961,292,669
253,NTA2020,Staten Island,SI0191,Snug Harbor,9,0,0,0,0,0
254,NTA2020,Staten Island,SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,0,"3,109","6,499","3,390",379,"3,011"
255,NTA2020,Staten Island,SI0202,New Dorp-Midland Beach,0,"1,615","4,507","2,892",217,"2,675"
256,NTA2020,Staten Island,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0,"5,191","6,486","1,295",365,930
257,NTA2020,Staten Island,SI0204,New Springville-Willowbrook-Bulls Head-Travis,0,"5,049","8,401","3,352",452,"2,900"
258,NTA2020,Staten Island,SI0291,Freshkills Park (North),9,4,0,-4,0,-4
259,NTA2020,Staten Island,SI0301,Oakwood-Richmondtown,0,905,"2,366","1,461",148,"1,313"
260,NTA2020,Staten Island,SI0302,Great Kills-Eltingville,0,"1,763","4,076","2,313",184,"2,129"
261,NTA2020,Staten Island,SI0303,Arden Heights-Rossville,0,"1,988","2,934",946,148,798
262,NTA2020,Staten Island,SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,0,"1,518","2,372",854,121,733
263,NTA2020,Staten Island,SI0305,Tottenville-Charleston,0,423,439,16,23,-7
264,NTA2020,Staten Island,SI0391,Freshkills Park (South),9,15,19,4,0,4
265,NTA2020,Staten Island,SI9561,Fort Wadsworth,6,6,15,9,5,4
266,NTA2020,Staten Island,SI9591,Hoffman & Swinburne Islands,9,0,0,0,0,0
267,NTA2020,Staten Island,SI9592,Miller Field,9,0,7,7,0,7
268,NTA2020,Staten Island,SI9593,Great Kills Park,9,0,0,0,0,0
