Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration
192,NTA2020,Queens,QN0701,College Point,0,"28,246","33,625","5,379","1,893","3,486"
193,NTA2020,Queens,QN0702,Whitestone-Beechhurst,0,"26,802","28,408","1,606",326,"1,280"
194,NTA2020,Queens,QN0703,Bay Terrace-Clearview,0,"21,751","23,287","1,536",-411,"1,947"
195,NTA2020,Queens,QN0704,Murray Hill-Broadway Flushing,0,"55,951","57,387","1,436","1,815",-379
196,NTA2020,Queens,QN0705,East Flushing,0,"32,300","34,704","2,404","2,330",74
197,NTA2020,Queens,QN0706,Queensboro Hill,0,"20,798","23,638","2,840","2,384",456
198,NTA2020,Queens,QN0707,Flushing-Willets Point,0,"62,478","69,879","7,401","5,058","2,343"
199,NTA2020,Queens,QN0761,Fort Totten,6,0,0,0,0,0
200,NTA2020,Queens,QN0791,Kissena Park,9,0,2,2,1,1
201,NTA2020,Queens,QN0801,Kew Gardens Hills,0,"34,278","36,009","1,731","5,231","-3,500"
202,NTA2020,Queens,QN0802,Pomonok-Electchester-Hillcrest,0,"33,704","35,669","1,965","1,778",187
203,NTA2020,Queens,QN0803,Fresh Meadows-Utopia,0,"21,345","23,434","2,089","1,103",986
204,NTA2020,Queens,QN0804,Jamaica Estates-Holliswood,0,"22,170","23,576","1,406",908,498
205,NTA2020,Queens,QN0805,Jamaica Hills-Briarwood,0,"36,500","39,292","2,792","2,892",-100
206,NTA2020,Queens,QN0871,Mount Hebron & Cedar Grove Cemeteries,7,1,1,0,0,0
207,NTA2020,Queens,QN0891,Cunningham Park,9,73,5,-68,1,-69
208,NTA2020,Queens,QN0901,Kew Gardens,0,"23,278","24,371","1,093","1,870",-777
209,NTA2020,Queens,QN0902,Richmond Hill,0,"32,951","34,100","1,149","3,100","-1,951"
210,NTA2020,Queens,QN0903,South Richmond Hill,0,"24,165","24,141",-24,"2,014","-2,038"
211,NTA2020,Queens,QN0904,Ozone Park (North),0,"24,158","27,312","3,154","2,622",532
212,NTA2020,Queens,QN0905,Woodhaven,0,"38,382","41,948","3,566","3,161",405
213,NTA2020,Queens,QN1001,South Ozone Park,0,"75,878","79,540","3,662","5,280","-1,618"
214,NTA2020,Queens,QN1002,Ozone Park,0,"21,376","23,518","2,142","1,564",578
215,NTA2020,Queens,QN1003,Howard Beach-Lindenwood,0,"26,143","27,320","1,177",-324,"1,501"
216,NTA2020,Queens,QN1091,Spring Creek Park,9,5,0,-5,3,-8
217,NTA2020,Queens,QN1101,Auburndale,0,"33,805","36,182","2,377",608,"1,769"
218,NTA2020,Queens,QN1102,Bayside,0,"34,742","35,588",846,963,-117
219,NTA2020,Queens,QN1103,Douglaston-Little Neck,0,"24,739","25,262",523,-109,632
220,NTA2020,Queens,QN1104,Oakland Gardens-Hollis Hills,0,"23,494","25,249","1,755",463,"1,292"
221,NTA2020,Queens,QN1191,Alley Pond Park,9,72,85,13,-1,14
222,NTA2020,Queens,QN1201,Jamaica,0,"53,883","60,993","7,110","6,437",673
223,NTA2020,Queens,QN1202,South Jamaica,0,"36,938","44,401","7,463","3,209","4,254"
224,NTA2020,Queens,QN1203,Baisley Park,0,"37,699","43,090","5,391","2,643","2,748"
225,NTA2020,Queens,QN1204,Springfield Gardens (North)-Rochdale Village,0,"28,537","32,883","4,346","1,203","3,143"
226,NTA2020,Queens,QN1205,St. Albans,0,"47,831","51,816","3,985","1,635","2,350"
227,NTA2020,Queens,QN1206,Hollis,0,"22,349","24,576","2,227","1,400",827
228,NTA2020,Queens,QN1301,Glen Oaks-Floral Park-New Hyde Park,0,"22,571","23,364",793,-759,"1,552"
229,NTA2020,Queens,QN1302,Bellerose,0,"25,287","26,566","1,279","1,040",239
230,NTA2020,Queens,QN1303,Queens Village,0,"52,734","54,345","1,611","2,909","-1,298"
231,NTA2020,Queens,QN1304,Cambria Heights,0,"18,677","19,081",404,356,48
232,NTA2020,Queens,QN1305,Laurelton,0,"24,453","26,088","1,635",794,841
233,NTA2020,Queens,QN1306,Springfield Gardens (South)-Brookville,0,"20,170","23,103","2,933","1,611","1,322"
234,NTA2020,Queens,QN1307,Rosedale,0,"25,025","27,101","2,076","1,834",242
235,NTA2020,Queens,QN1371,Montefiore Cemetery,7,1,0,-1,0,-1
236,NTA2020,Queens,QN1401,Far Rockaway-Bayswater,0,"53,861","58,648","4,787","4,687",100
237,NTA2020,Queens,QN1402,Rockaway Beach-Arverne-Edgemere,0,"36,462","41,367","4,905","1,788","3,117"
238,NTA2020,Queens,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0,"24,638","24,134",-504,-857,353
239,NTA2020,Queens,QN1491,Rockaway Community Park,9,0,12,12,-1,13
240,NTA2020,Queens,QN8081,LaGuardia Airport,8,0,0,0,-1,1
241,NTA2020,Queens,QN8191,Flushing Meadows-Corona Park,9,56,44,-12,-40,28
242,NTA2020,Queens,QN8291,Forest Park,9,113,4,-109,4,-113
243,NTA2020,Queens,QN8381,John F. Kennedy International Airport,8,0,2,2,1,1
244,NTA2020,Queens,QN8491,Jamaica Bay (East),9,0,0,0,4,-4
245,NTA2020,Queens,QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,9,17,24,7,-7,14
246,NTA2020,Staten Island,SI0101,St. George-New Brighton,0,"18,774","20,549","1,775","1,077",698
247,NTA2020,Staten Island,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,0,"16,192","19,027","2,835","1,150","1,685"
248,NTA2020,Staten Island,SI0103,Rosebank-Shore Acres-Park Hill,0,"23,259","25,510","2,251","1,875",376
249,NTA2020,Staten Island,SI0104,West New Brighton-Silver Lake-Grymes Hill,0,"35,484","37,010","1,526","1,663",-137
250,NTA2020,Staten Island,SI0105,Westerleigh-Castleton Corners,0,"29,816","31,458","1,642",676,966
