Orig Order,GeoType,Borough,GeoID,Name,NTA Type,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration
222,NTA2020,Queens,QN1201,Jamaica,0,"2,068","2,001",-67,-36,-31
223,NTA2020,Queens,QN1202,South Jamaica,0,352,514,162,46,116
224,NTA2020,Queens,QN1203,Baisley Park,0,307,611,304,93,211
225,NTA2020,Queens,QN1204,Springfield Gardens (North)-Rochdale Village,0,215,353,138,41,97
226,NTA2020,Queens,QN1205,St. Albans,0,494,617,123,-94,217
227,NTA2020,Queens,QN1206,Hollis,0,604,658,54,-95,149
228,NTA2020,Queens,QN1301,Glen Oaks-Floral Park-New Hyde Park,0,"10,914","8,334","-2,580","-1,793",-787
229,NTA2020,Queens,QN1302,Bellerose,0,"7,974","5,430","-2,544",-733,"-1,811"
230,NTA2020,Queens,QN1303,Queens Village,0,"3,385","2,456",-929,-311,-618
231,NTA2020,Queens,QN1304,Cambria Heights,0,259,272,13,5,8
232,NTA2020,Queens,QN1305,Laurelton,0,358,350,-8,-19,11
233,NTA2020,Queens,QN1306,Springfield Gardens (South)-Brookville,0,397,429,32,25,7
234,NTA2020,Queens,QN1307,Rosedale,0,"1,334",930,-404,-150,-254
235,NTA2020,Queens,QN1371,Montefiore Cemetery,7,0,0,0,0,0
236,NTA2020,Queens,QN1401,Far Rockaway-Bayswater,0,"13,100","13,758",658,"1,373",-715
237,NTA2020,Queens,QN1402,Rockaway Beach-Arverne-Edgemere,0,"6,171","6,824",653,-503,"1,156"
238,NTA2020,Queens,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0,"21,175","19,590","-1,585",-886,-699
239,NTA2020,Queens,QN1491,Rockaway Community Park,9,0,0,0,-1,1
240,NTA2020,Queens,QN8081,LaGuardia Airport,8,0,0,0,0,0
241,NTA2020,Queens,QN8191,Flushing Meadows-Corona Park,9,14,3,-11,-14,3
242,NTA2020,Queens,QN8291,Forest Park,9,85,1,-84,0,-84
243,NTA2020,Queens,QN8381,John F. Kennedy International Airport,8,0,0,0,0,0
244,NTA2020,Queens,QN8491,Jamaica Bay (East),9,0,0,0,1,-1
245,NTA2020,Queens,QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,9,13,17,4,-4,8
246,NTA2020,Staten Island,SI0101,St. George-New Brighton,0,"4,754","4,394",-360,-240,-120
247,NTA2020,Staten Island,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,0,"3,035","3,006",-29,-352,323
248,NTA2020,Staten Island,SI0103,Rosebank-Shore Acres-Park Hill,0,"8,161","6,988","-1,173",19,"-1,192"
249,NTA2020,Staten Island,SI0104,West New Brighton-Silver Lake-Grymes Hill,0,"18,653","16,673","-1,980",-266,"-1,714"
250,NTA2020,Staten Island,SI0105,Westerleigh-Castleton Corners,0,"22,605","20,885","-1,720",-107,"-1,613"
251,NTA2020,Staten Island,SI0106,Port Richmond,0,"4,904","3,989",-915,-143,-772
252,NTA2020,Staten Island,SI0107,Mariner's Harbor-Arlington-Graniteville,0,"7,412","6,618",-794,-96,-698
253,NTA2020,Staten Island,SI0191,Snug Harbor,9,1,7,6,0,6
254,NTA2020,Staten Island,SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,0,"23,827","20,914","-2,913",-453,"-2,460"
255,NTA2020,Staten Island,SI0202,New Dorp-Midland Beach,0,"21,665","19,149","-2,516",141,"-2,657"
256,NTA2020,Staten Island,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0,"20,602","20,597",-5,-819,814
257,NTA2020,Staten Island,SI0204,New Springville-Willowbrook-Bulls Head-Travis,0,"27,414","25,502","-1,912",393,"-2,305"
258,NTA2020,Staten Island,SI0291,Freshkills Park (North),9,33,4,-29,0,-29
259,NTA2020,Staten Island,SI0301,Oakwood-Richmondtown,0,"18,416","16,322","-2,094",-398,"-1,696"
260,NTA2020,Staten Island,SI0302,Great Kills-Eltingville,0,"46,248","43,582","-2,666",38,"-2,704"
261,NTA2020,Staten Island,SI0303,Arden Heights-Rossville,0,"24,185","22,611","-1,574",998,"-2,572"
262,NTA2020,Staten Island,SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,0,"33,599","33,263",-336,942,"-1,278"
263,NTA2020,Staten Island,SI0305,Tottenville-Charleston,0,"14,142","13,186",-956,203,"-1,159"
264,NTA2020,Staten Island,SI0391,Freshkills Park (South),9,38,31,-7,6,-13
265,NTA2020,Staten Island,SI9561,Fort Wadsworth,6,463,238,-225,72,-297
266,NTA2020,Staten Island,SI9591,Hoffman & Swinburne Islands,9,0,0,0,0,0
267,NTA2020,Staten Island,SI9592,Miller Field,9,12,19,7,0,7
268,NTA2020,Staten Island,SI9593,Great Kills Park,9,0,3,3,0,3
